ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity

[pop]
4L2K7JKseFCBoHMZEAszW0, 0.435, 0.155, 1, -8.948, 1, 0.046, 0, 0.107, 0.0935, 128.532, 287693, 3, 81
7py16W5fWYLFFS6BElKAjn, 0.605, 0.77, 5, -3.645, 0, 0.0446, 0, 0.159, 0.298, 130.037, 225915, 4, 71
7GX5flRQZVHRAGd6B4TmDO, 0.732, 0.75, 11, -6.366, 0, 0.231, 0, 0.109, 0.401, 155.096, 182707, 4, 87
2tpWsVSb9UEmDRxAl1zhX1, 0.664, 0.705, 1, -4.972, 0, 0.0382, 0, 0.118, 0.477, 122.016, 257267, 4, 80
6fujklziTHa8uoM5OQSfIo, 0.794, 0.632, 0, -6.163, 1, 0.0649, 0, 0.128, 0.355, 145.926, 291893, 4, 78
2jB9QaPJyVdz2Q0Va8rrnU, 0.606, 0.887, 9, -4.782, 0, 0.052, 3.47e-06, 0.0958, 0.349, 97.972, 191787, 4, 67
14hJ5tc1VCFMWhVn9axRTC, 0.667, 0.614, 10, -4.995, 1, 0.0314, 0, 0.111, 0.161, 113.979, 214533, 4, 67
6hmhG1b4LEyNuashVvuIAo, 0.583, 0.732, 11, -5.728, 0, 0.0457, 9.86e-06, 0.269, 0.276, 145.992, 213428, 4, 80
4q6dqyGM25sKFU8nYAGRe4, 0.711, 0.508, 7, -7.299, 1, 0.0494, 0, 0.141, 0.665, 98.098, 217800, 4, 72
7tr2za8SQg2CI8EDgrdtNl, 0.736, 0.795, 1, -3.299, 0, 0.0545, 1.21e-06, 0.254, 0.511, 104.066, 230813, 4, 71
2mj7x99sNUsVHPBRK51zlG, 0.599, 0.396, 10, -10.489, 0, 0.0392, 2.19e-05, 0.102, 0.134, 111.072, 246327, 4, 70
5o4yGlG0PfeVUa6ClIyOxq, 0.867, 0.545, 2, -5.192, 1, 0.0625, 0.000289, 0.0505, 0.525, 139.943, 162586, 4, 73
6B7op3kK1kFQp4Ck1UZtK5, 0.607, 0.718, 4, -4.095, 1, 0.0978, 0, 0.403, 0.551, 101.821, 213307, 4, 39
2ANLarE8yHVsLWW21nj79M, 0.843, 0.359, 0, -7.417, 1, 0.461, 0, 0.12, 0.156, 81.987, 163944, 4, 75
3u1S1OmAUhx5DRlLrXqyp3, 0.69, 0.784, 1, -4.653, 1, 0.032, 0, 0.203, 0.669, 106.066, 194408, 4, 86
6I9VzXrHxO9rA9A5euc8Ak, 0.774, 0.838, 5, -3.914, 0, 0.114, 0.025, 0.242, 0.924, 143.04, 198800, 4, 80
0jdny0dhgjUwoIp5GkqEaA, 0.576, 0.39, 10, -7.202, 1, 0.0297, 0, 0.111, 0.319, 73.433, 230267, 4, 77
2of5xn0GU0TdFneR1saRLH, 0.461, 0.812, 10, -5.776, 0, 0.241, 0.000375, 0.21, 0.72, 159.869, 193902, 4, 55
57kR5SniQIbsbVoIjjOUDa, 0.426, 0.722, 5, -5.369, 0, 0.196, 1.27e-06, 0.262, 0.25, 196.133, 247267, 4, 74
7Ezwtgfw7khBrpvaNPtMoT, 0.414, 0.807, 10, -4.12, 0, 0.348, 0, 0.822, 0.409, 175.158, 191901, 4, 59
4RXpgGM7A4Hg7cFBoH5KyF, 0.537, 0.777, 7, -4.829, 0, 0.0473, 6.12e-05, 0.0838, 0.427, 124.943, 255093, 4, 79
7wMq5n8mYSKlQIGECKUgTX, 0.421, 0.873, 10, -4.343, 1, 0.0565, 0, 0.123, 0.63, 84.803, 202533, 4, 80
2OtCtGugQwH066hxpaRNwU, 0.774, 0.739, 0, -4.022, 1, 0.0952, 5.95e-06, 0.119, 0.823, 126.002, 246240, 4, 50
13mWClHbl5ZqRhnWlFiJQ9, 0.459, 0.741, 4, -6.43, 0, 0.0495, 0, 0.481, 0.344, 189.879, 231013, 4, 46
6WAxKNbZoGNzQTIvdMqkFs, 0.619, 0.539, 1, -5.688, 0, 0.0409, 0, 0.106, 0.39, 112.006, 206400, 4, 65
4WiiRw2PHMNQE0ad6y6GdD, 0.614, 0.938, 11, -4.461, 1, 0.0611, 0, 0.368, 0.607, 100.058, 224674, 4, 70
3bvjsHQd792zIO4SKFxXKs, 0.485, 0.91, 9, -2.096, 1, 0.0977, 0, 0.138, 0.649, 124.18, 205027, 4, 61
46ydq5g3k17iLJs3qMDvO6, 0.675, 0.609, 7, -5.027, 0, 0.0586, 0, 0.0957, 0.378, 120.039, 208729, 4, 73
152lZdxL1OR0ZMW6KquMif, 0.736, 0.449, 1, -11.462, 0, 0.425, 0.000162, 0.0898, 0.326, 80.126, 219080, 4, 85
67WTwafOMgegV6ABnBQxcE, 0.672, 0.738, 0, -7.045, 1, 0.0506, 6.75e-05, 0.0927, 0.392, 107.938, 277040, 4, 71
02M6vucOvmRfMxTXDUwRXu, 0.747, 0.705, 9, -5.137, 0, 0.126, 0, 0.126, 0.56, 136.024, 213507, 4, 76
7KXjTSCq5nL1LoYtL7XAwS, 0.908, 0.621, 1, -6.638, 0, 0.102, 5.39e-05, 0.0958, 0.421, 150.011, 177000, 4, 86
0yqCB9ZjqXWncbcK0Erb8g, 0.513, 0.63, 3, -6.333, 1, 0.0859, 0, 0.171, 0.297, 148.139, 178307, 4, 44
