ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity,Class
4G8gkOterJn0Ywt6uhqbhp,0.448,0.784,9,-3.686,1,0.0627,0.000108,0.668,0.236,136.245,186813,4,74,0
3WKz5JDH0St3Smips7NlOM,0.511,0.856,2,-3.763,1,0.0505,0.02,0.324,0.62,154.904,187467,4,59,0
2dOTkLZFbpNXrhc24CnTFd,0.602,0.796,0,-3.657,0,0.103,0.12,0.15,0.265,126.06,245053,4,66,0
7ARveOiD31w2Nq0n5FsSf8,0.622,0.58,1,-5.273,0,0.0504,2.95E-05,0.112,0.512,104.41,221874,4,69,0
6IFwG4pnVPcpwX4kXFUbsV,0.768,0.593,5,-9.643,0,0.0463,0.000184,0.105,0.329,104.954,224507,4,55,0
7rKKh8AGVXuNXgLBpTBTFH,0.549,0.861,10,-5.737,1,0.177,0.000122,0.101,0.354,189.711,198107,4,65,0
2fUZ3aMp8amSaV0mp8s6rQ,0.711,0.882,0,-4.276,1,0.0576,0,0.226,0.56,106.017,167038,4,69,0
4jmKT5RAagCQ5Rk0evYLxH,0.895,0.489,10,-10.291,0,0.25,0.00172,0.142,0.245,83.521,227727,4,55,0
152lZdxL1OR0ZMW6KquMif,0.736,0.449,1,-11.462,0,0.425,0.000162,0.0898,0.326,80.126,219080,4,85,1
ERROR 25,,,,,,,,,,,,,,0
3bWAqKDWg6u1davspr5IkS,0.653,0.81,7,-6.032,0,0.0558,0,0.126,0.583,121.951,189307,4,72,0
1e1JKLEDKP7hEQzJfNAgPl,0.791,0.581,11,-7.323,0,0.286,0,0.35,0.438,162.99,181812,4,78,1
6B7op3kK1kFQp4Ck1UZtK5,0.607,0.718,4,-4.095,1,0.0978,0,0.403,0.551,101.821,213307,4,39,0
4rwqrKdwlFWJ6LvPYaOtgn,0.44,0.413,0,-7.365,0,0.0407,3.40E-05,0.0997,0.141,86.911,258188,3,73,0
2ANLarE8yHVsLWW21nj79M,0.843,0.359,0,-7.417,1,0.461,0,0.12,0.156,81.987,163944,4,75,1
5YEOzOojehCqxGQCcQiyR4,0.576,0.777,10,-5.035,0,0.458,0,0.366,0.259,145.2,246761,4,76,1
0q75NwOoFiARAVp4EXU4Bs,0.795,0.594,0,-6.2,1,0.0747,0,0.162,0.409,135.002,275080,4,80,1
2ZyuwVvV6Z3XJaXIFbspeE,0.741,0.626,1,-4.826,0,0.0886,0,0.0828,0.706,108.029,188493,4,67,0
4aBYzs8RxZMuqyOanNlf8I,0.667,0.871,0,-4.905,0,0.0343,0.00655,0.165,0.187,128.042,201560,4,67,0
2bJvI42r8EF3wxjOuDav4r,0.72,0.802,1,-5.797,1,0.0582,0,0.694,0.723,124.043,229360,4,78,1
6oO10y1h2VyxJQfomG4CtH,0.558,0.451,9,-6.163,1,0.0388,0,0.101,0.238,150.008,265382,4,70,0
7oGZAicScQt96OAW4AruYy,0.775,0.68,0,-5.508,0,0.0629,0,0.109,0.656,114.025,207719,4,77,1
6Dwtha2FtZFoMEBh5GR2sq,0.827,0.702,6,-7.264,1,0.267,5.04E-05,0.158,0.694,130.02,191720,4,67,0
3DXncPQOG4VBw3QHh3S817,0.609,0.668,7,-4.284,1,0.0367,0,0.167,0.811,80.924,288600,4,79,1
40FLJc17FMZaPmCQEEZgB0,0.828,0.689,7,-7.878,1,0.0326,0.0384,0.0808,0.853,123.931,216027,4,32,0
5uu28fUesZMl89lf9CLrgN,0.522,0.833,0,-3.715,1,0.0575,0,0.127,0.296,180.009,193569,4,71,0
1JCCdiru7fhstOIF4N7WJC,0.572,0.499,2,-5.237,1,0.0311,0,0.213,0.108,101.593,237248,4,69,0
3Q3myFA7q4Op95DOpHplaY,0.742,0.599,8,-6.256,1,0.0465,1.02E-05,0.126,0.154,110.977,212027,3,80,1
7xrA11O07xo57Bbg6p4hck,0.63,0.74,5,-4.786,0,0.0381,1.53E-06,0.248,0.3,87.01,193893,4,66,0
2n5gVJ9fzeX2SSWlLQuyS9,0.874,0.706,1,-5.132,1,0.207,0,0.334,0.895,89.968,216248,4,73,0
1Tt4sE4pXi57mTD1GCzsqm,0.671,0.314,5,-8.091,0,0.244,0,0.0825,0.296,110.898,191600,4,74,0
4MdQkwmoI9lrUfHGD7wOzy,0.735,0.494,8,-7.607,0,0.115,1.05E-06,0.108,0.143,135.159,170752,4,65,0
2CWnuF7ht55Ajyeg4WPvWu,0.665,0.86,4,-3.921,0,0.0761,0,0.281,0.372,139.973,209355,4,55,0
3NLnwwAQbbFKcEcV8hDItk,0.647,0.823,2,-5.231,1,0.0762,0,0.119,0.396,99.933,230333,4,74,0
2Z8WuEywRWYTKe1NybPQEW,0.645,0.713,6,-5.355,1,0.0393,0,0.113,0.566,74.989,214507,4,83,1
2DQ1ITjI0YoLFzuADN1ZBW,0.838,0.771,1,-3.791,1,0.244,0,0.0853,0.405,175.957,245387,4,73,0
4L2K7JKseFCBoHMZEAszW0,0.435,0.155,1,-8.948,1,0.046,0,0.107,0.0935,128.532,287693,3,81,1
5fyIGoaaKelzdyW8ELhYJZ,0.564,0.703,2,-5.459,1,0.269,0.00927,0.358,0.477,139.045,237840,4,67,0
7IQwT5VzrCo7UcMRljkkmR,0.592,0.681,0,-5.597,1,0.141,0,0.142,0.491,147.016,217107,4,35,0
0Fv5N0cHBsl4bzCbollCAS,0.789,0.53,2,-6.2,1,0.293,0,0.164,0.367,75.515,142907,4,71,0
0prNGof3XqfTvNDxHonvdK,0.573,0.739,0,-5.74,1,0.129,0,0.111,0.451,97.085,230227,4,76,1
6eUncuJutsFi9BGO1JaBHh,0.897,0.634,4,-6.264,0,0.161,0,0.0686,0.506,112.048,212014,4,67,0
5UPNBWFU2TEf9kauIITfBs,0.77,0.69,1,-5.565,1,0.136,0,0.128,0.732,103.035,178507,4,64,0
3ojTJaonfkL96iIWa47SU3,0.614,0.598,10,-6.335,0,0.0561,0,0.1,0.565,105.803,129478,4,64,0
7KXjTSCq5nL1LoYtL7XAwS,0.908,0.621,1,-6.638,0,0.102,5.39E-05,0.0958,0.421,150.011,177000,4,86,1
3QWjljChcOMkRDYSzF33Qr,0.87,0.502,5,-7.497,0,0.0549,0.00356,0.0916,0.673,82.53,160597,4,63,0
4WiiRw2PHMNQE0ad6y6GdD,0.614,0.938,11,-4.461,1,0.0611,0,0.368,0.607,100.058,224674,4,70,0
5a8RPWgKSmcGBGcffmIrUi,0.691,0.716,7,-5.985,1,0.0351,9.06E-06,0.263,0.507,112.035,187027,4,45,0
0xMd5bcWTbyXS7wPrBtZA6,0.559,0.777,1,-5.031,1,0.0432,0,0.105,0.329,87.016,231212,4,68,0
6n72bDAxbWOkWaJnlfQfIZ,0.563,0.58,9,-4.869,0,0.0459,0,0.085,0.26,132.854,209924,4,63,0
3ge54HUrk1ht3EX5SMhIzZ,0.471,0.802,1,-3.599,0,0.27,1.45E-06,0.702,0.653,88.615,213507,4,35,0
7e44z4wOjkllaD8eulUeMd,0.894,0.667,10,-6.926,0,0.0498,2.77E-05,0.114,0.512,105.09,220467,4,62,0
6SwRhMLwNqEi6alNPVG00n,0.658,0.535,9,-8.983,0,0.0573,0,0.2,0.419,110.684,227360,4,76,1
5YjEZzlruyZPh96bOpSVPH,0.532,0.616,10,-7.074,0,0.0328,0,0.0928,0.292,101.883,223147,4,30,0
5wUUWVRvrciJqFitZF8R0P,0.643,0.541,2,-5.801,1,0.0426,0,0.102,0.165,119.501,311197,4,69,0
7129iqBafaphfc3WPCGC0L,0.742,0.479,10,-5.83,1,0.0551,0,0.391,0.346,119.951,237300,4,54,0
5uQOauh47VFt3B2kV9kRXw,0.812,0.621,5,-8.3,1,0.0515,0,0.099,0.847,77.998,128157,4,74,0
0Dc7J9VPV4eOInoxUiZrsL,0.851,0.525,2,-5.221,0,0.0874,0,0.111,0.405,97.988,266840,4,74,0
5hgnY0mVcVetszbb85qeDg,0.412,0.441,11,-11.523,0,0.291,0.0726,0.306,0.174,185.571,319467,4,72,0
5fyIGoaaKelzdyW8ELhYJZ,0.564,0.703,2,-5.459,1,0.269,0.00927,0.358,0.477,139.045,237840,4,67,0
10Igtw8bSDyyFs7KIsKngZ,0.755,0.599,8,-5.042,1,0.224,0,0.109,0.755,133.123,216632,4,82,1
6G8kHiVZ1jW7vHMPVRNZU0,0.826,0.318,10,-12.391,1,0.0574,0.0131,0.11,0.138,103.002,245787,4,82,1
7xrA11O07xo57Bbg6p4hck,0.63,0.74,5,-4.786,0,0.0381,1.53E-06,0.248,0.3,87.01,193893,4,67,0
0mGJTKRIuCOJtiT4YkJHiv,0.698,0.869,6,-3.294,1,0.0468,0,0.121,0.714,125.005,203387,4,59,0
3nodtPfXcok53E8Uze8gvD,0.635,0.659,8,-4.92,1,0.155,0,0.302,0.54,178.018,187589,4,64,0
5Ck3e6z1bcSCes5gdo0Ddt,0.633,0.576,6,-7.837,1,0.0522,3.37E-05,0.127,0.296,119.799,256080,4,66,0
18W92Zm1KjLCbUIszOhpkD,0.661,0.725,6,-4.859,1,0.0563,0,0.123,0.605,119.927,197939,4,80,1
3E2Zh20GDCR9B1EYjfXWyv,0.673,0.637,5,-4.518,1,0.0429,0,0.184,0.678,123.98,201160,4,56,0
19gEmPjfqSZT0ulDRfjl0m,0.794,0.51,9,-7.314,1,0.42,1.81E-06,0.0562,0.18,167.879,194561,4,74,0
6F5c58TMEs1byxUstkzVeM,0.554,0.772,7,-4.821,0,0.0418,6.60E-06,0.354,0.455,179.984,223546,4,78,1
7yyRTcZmCiyzzJlNzGC9Ol,0.886,0.525,8,-7.39,1,0.131,0,0.057,0.708,145.99,225205,4,73,0
1TnUURhehaoMWKAqQtirm6,0.512,0.812,1,-4.809,1,0.0617,0,0.092,0.521,100.02,249500,4,73,0
1gm616Plq4ScqNi7TVkZ5N,0.489,0.598,1,-4.929,1,0.036,0,0.35,0.172,134.045,228373,3,76,1
3Txcx4jhuiTZSvhAL0WaRc,0.678,0.414,9,-10.144,0,0.0498,3.78E-06,0.0885,0.355,130.031,243133,4,66,0
5hc71nKsUgtwQ3z52KEKQk,0.611,0.799,0,-5.719,1,0.0641,0.0277,0.123,0.51,101.038,347520,4,75,1
0e7ipj03S05BNilyu5bRzt,0.587,0.535,5,-6.09,0,0.0898,6.56E-05,0.131,0.14,159.847,218147,4,92,1
2bjwRfXMk4uRgOD9IBYl9h,0.924,0.444,1,-8.227,1,0.243,0,0.26,0.314,136.088,236615,4,77,1
3GCdLUSnKSMJhs4Tj6CV3s,0.698,0.633,8,-4.946,1,0.0597,0.000194,0.0926,0.552,96.924,232187,4,84,1
4rHZZAmHpZrA3iH5zx8frV,0.574,0.512,5,-6.664,0,0.0503,0,0.0946,0.512,76.899,484147,4,78,1
5huOzlgCK7PsMSG4TFBvKY,0.68,0.735,11,-5.553,0,0.0482,0.00132,0.109,0.523,106.994,213120,4,70,0
6Pgkp4qUoTmJIPn7ReaGxL,0.653,0.863,2,-4.799,1,0.0457,0,0.0406,0.276,134.004,181673,4,84,1
5UPNBWFU2TEf9kauIITfBs,0.77,0.69,1,-5.565,1,0.136,0,0.128,0.732,103.035,178507,4,64,0
2glGP8kEfACgJdZ86kWxhN,0.763,0.608,5,-8.1,0,0.035,2.50E-05,0.12,0.393,121.02,138013,4,65,0
5wUUWVRvrciJqFitZF8R0P,0.643,0.541,2,-5.801,1,0.0426,0,0.102,0.165,119.501,311197,4,69,0
1jQsKN68yE94tMYml0wHMd,0.745,0.714,1,-6.729,1,0.0768,0,0.132,0.554,136.972,213693,4,72,0
6gFPdkLitG8mpiWKKZ3lgE,0.608,0.798,6,-5.092,0,0.0432,0,0.156,0.501,92.943,185352,4,57,0
1LhMopPAallLeaeNutqbgS,0.707,0.632,10,-7.031,1,0.0789,1.09E-05,0.0841,0.372,97.04,278893,4,78,1
5b88tNINg4Q4nrRbrCXUmg,0.647,0.822,5,-4.662,0,0.183,0,0.0908,0.962,160.019,232720,4,74,0
1a5Yu5L18qNxVhXx38njON,0.789,0.442,11,-7.844,1,0.0421,0.00366,0.0927,0.45,121.971,192846,4,56,0
270aLuFCbX32hhBr8MQyPM,0.645,0.541,10,-6.312,0,0.0385,0,0.325,0.411,95.061,181880,4,71,0
1f5cbQtDrykjarZVrShaDI,0.839,0.81,5,-5.274,0,0.0568,0,0.117,0.814,129.014,209269,4,81,1
46jLy47W8rkf8rEX04gMKB,0.552,0.689,10,-6.444,0,0.0425,0,0.27,0.349,99.961,169773,4,68,0
7k802XMtsF57i4WS2M2MGg,0.651,0.601,10,-5.097,0,0.0497,0,0.0882,0.512,133.954,201422,4,57,0
2s0Dn2mtvp94wUkyaB8nJc,0.765,0.621,0,-3.827,0,0.025,0,0.0369,0.798,102.065,212267,4,61,0
2qT1uLXPVPzGgFOx4jtEuo,0.699,0.713,9,-5.507,0,0.0594,3.11E-06,0.294,0.354,121.993,205920,4,90,1
1CZOrmHUUjeDP7N2B4Ba6S,0.696,0.921,0,-3.755,1,0.0363,5.24E-05,0.0842,0.714,119.001,294573,4,77,1
6V9kwssTrwkKT72imgowj9,0.604,0.603,7,-6.324,0,0.0389,0,0.126,0.15,94.989,217413,4,66,0
29gsi1zZrZxdStACmTQB0Z,0.709,0.589,8,-7.776,0,0.0433,0,0.0585,0.58,133.922,278067,3,70,0
5is2KiI0FDPLPLRq9hFybw,0.717,0.523,10,-6.506,0,0.0611,0,0.206,0.282,127.047,228613,4,33,0
