ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity,Class
5uu28fUesZMl89lf9CLrgN,0.522,0.833,0,-3.715,1,0.0575,0,0.127,0.296,180.009,193569,4,71,0
4dVpf9jZjcORqGTLUaeYj9,0.797,0.844,11,-5.482,1,0.275,0,0.087,0.52,170.142,173600,4,81,1
0Dc7J9VPV4eOInoxUiZrsL,0.851,0.525,2,-5.221,0,0.0874,0,0.111,0.405,97.988,266840,4,74,0
6A8dnC0xkiuWN4BshmTB2I,0.617,0.642,8,-8.624,1,0.0334,0.157,0.0929,0.221,105.885,194013,4,67,0
3KiktyOxQd2Z0bmnabgRq2,0.697,0.377,3,-7.755,1,0.0397,0,0.0999,0.336,138.754,244573,4,46,0
5mPSyjLatqB00IkPqRlbTE,0.718,0.458,4,-10.024,0,0.117,3.43E-06,0.105,0.0514,132.998,212947,4,66,0
77UjLW8j5UAGAGVGhR5oUK,0.735,0.677,2,-4.979,1,0.093,2.17E-05,0.111,0.188,100.584,211440,4,81,1
4kflIGfjdZJW4ot2ioixTB,0.559,0.33,9,-8.251,1,0.0285,0,0.0975,0.285,135.109,285040,4,79,1
5uQOauh47VFt3B2kV9kRXw,0.812,0.621,5,-8.3,1,0.0515,0,0.099,0.847,77.998,128157,4,74,0
6gFPdkLitG8mpiWKKZ3lgE,0.608,0.798,6,-5.092,0,0.0432,0,0.156,0.501,92.943,185352,4,57,0
3Txcx4jhuiTZSvhAL0WaRc,0.678,0.414,9,-10.144,0,0.0498,3.78E-06,0.0885,0.355,130.031,243133,4,66,0
2aksifNn5ph8igDOkPBA02,0.509,0.637,4,-4.83,0,0.0471,1.08E-05,0.0789,0.378,172.006,224000,3,74,0
4pdgV8qr9Oytcv6thCdiIZ,0.848,0.663,8,-5.606,0,0.245,0,0.108,0.333,133.993,255413,4,61,0
1nX9KhK3Fff27SnrIor2Yb,0.796,0.5,1,-7.21,1,0.425,0,0.155,0.227,75.012,255560,4,73,0
6JvHYmanlC8FdbeiCztcrR,0.865,0.718,8,-3.882,1,0.204,7.62E-05,0.264,0.476,153.548,237655,4,55,0
32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0,-7.223,1,0.0824,8.15E-05,0.0344,0.928,114.988,269667,4,82,1
7EiZI6JVHllARrX9PUvAdX,0.722,0.331,8,-7.789,1,0.0725,0.283,0.146,0.102,143.974,313547,4,77,1
0Zx8khUcEfCFK2AEoIhC92,0.657,0.703,1,-3.402,1,0.0753,0,0.256,0.338,122.381,214693,4,72,0
7GJClzimvMSghjcrKxuf1M,0.714,0.451,5,-8.268,1,0.0276,0,0.108,0.406,127.787,200720,4,79,1
32lItqlMi4LBhb4k0BaSaC,0.67,0.654,4,-5.944,1,0.153,1.02E-06,0.071,0.438,180.024,227533,4,85,1
5tbJvz7EzXc9Z8odKvfvJm,0.415,0.11,1,-14.901,1,0.0388,0.00236,0.0962,0.234,81.876,240147,4,25,0
1UZOjK1BwmwWU14Erba9CZ,0.573,0.781,8,-6.406,1,0.0555,2.64E-05,0.0813,0.343,139.934,231907,4,80,1
3Vo4wInECJQuz9BIBMOu8i,0.704,0.859,5,-4.877,0,0.0996,0,0.0215,0.926,105.115,217289,4,84,1
5wUUWVRvrciJqFitZF8R0P,0.643,0.541,2,-5.801,1,0.0426,0,0.102,0.165,119.501,311197,4,69,0
3BtuIIrQlkujKPuWF2B85z,0.82,0.641,4,-7.811,0,0.116,5.07E-05,0.102,0.395,117.974,263373,4,76,1
5nN8BwAQDJDguq7Dpd3JQQ,0.813,0.453,1,-6.941,1,0.338,0,0.14,0.191,161.997,208027,4,68,0
1f5cbQtDrykjarZVrShaDI,0.839,0.81,5,-5.274,0,0.0568,0,0.117,0.814,129.014,209269,4,81,1
1mXVgsBdtIVeCLJnSnmtdV,0.698,0.375,5,-8.279,1,0.0491,0,0.173,0.534,91.92,201000,4,86,1
75ZvA4QfFiZvzhj2xkaWAh,0.556,0.538,8,-5.408,0,0.0382,0,0.196,0.291,143.95,223347,4,88,1
