ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity,Class
2tpWsVSb9UEmDRxAl1zhX1,0.664,0.705,1,-4.972,0,0.0382,0,0.118,0.477,122.016,257267,4,80,1
6fujklziTHa8uoM5OQSfIo,0.794,0.632,0,-6.163,1,0.0649,0,0.128,0.355,145.926,291893,4,78,1
2jB9QaPJyVdz2Q0Va8rrnU,0.606,0.887,9,-4.782,0,0.052,3.47E-06,0.0958,0.349,97.972,191787,4,67,0
14hJ5tc1VCFMWhVn9axRTC,0.667,0.614,10,-4.995,1,0.0314,0,0.111,0.161,113.979,214533,4,67,0
6hmhG1b4LEyNuashVvuIAo,0.583,0.732,11,-5.728,0,0.0457,9.86E-06,0.269,0.276,145.992,213428,4,80,1
4q6dqyGM25sKFU8nYAGRe4,0.711,0.508,7,-7.299,1,0.0494,0,0.141,0.665,98.098,217800,4,72,0
7tr2za8SQg2CI8EDgrdtNl,0.736,0.795,1,-3.299,0,0.0545,1.21E-06,0.254,0.511,104.066,230813,4,71,0
2mj7x99sNUsVHPBRK51zlG,0.599,0.396,10,-10.489,0,0.0392,2.19E-05,0.102,0.134,111.072,246327,4,70,0
5o4yGlG0PfeVUa6ClIyOxq,0.867,0.545,2,-5.192,1,0.0625,0.000289,0.0505,0.525,139.943,162586,4,73,0
6B7op3kK1kFQp4Ck1UZtK5,0.607,0.718,4,-4.095,1,0.0978,0,0.403,0.551,101.821,213307,4,39,0
2ANLarE8yHVsLWW21nj79M,0.843,0.359,0,-7.417,1,0.461,0,0.12,0.156,81.987,163944,4,75,1
3u1S1OmAUhx5DRlLrXqyp3,0.69,0.784,1,-4.653,1,0.032,0,0.203,0.669,106.066,194408,4,86,1
6I9VzXrHxO9rA9A5euc8Ak,0.774,0.838,5,-3.914,0,0.114,0.025,0.242,0.924,143.04,198800,4,80,1
0jdny0dhgjUwoIp5GkqEaA,0.576,0.39,10,-7.202,1,0.0297,0,0.111,0.319,73.433,230267,4,77,1
2of5xn0GU0TdFneR1saRLH,0.461,0.812,10,-5.776,0,0.241,0.000375,0.21,0.72,159.869,193902,4,55,0
