ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity,Class
7Ezwtgfw7khBrpvaNPtMoT,0.414,0.807,10,-4.12,0,0.348,0,0.822,0.409,175.158,191901,4,59,0
2bJvI42r8EF3wxjOuDav4r,0.72,0.802,1,-5.797,1,0.0582,0,0.694,0.723,124.043,229360,4,78,1
4NYwy0R3NdvORX2B6OZXBT,0.733,0.408,7,-7.834,0,0.0388,3.92E-05,0.11,0.291,94.947,197854,4,73,0
17JYzDCW1UTndfURuTydF2,0.736,0.756,11,-7.099,1,0.047,0.00577,0.106,0.712,117.016,231847,4,59,0
2Z8WuEywRWYTKe1NybPQEW,0.645,0.713,6,-5.355,1,0.0393,0,0.113,0.566,74.989,214507,4,83,1
5WSdMcWTKRdN1QYVJHJWxz,0.657,0.913,11,-4.984,1,0.0528,0.00149,0.466,0.906,108.036,254620,4,65,0
6fwdbPMwP1zVStm8FybmkO,0.835,0.413,1,-9.81,1,0.396,0.00133,0.101,0.111,149.004,258880,4,77,1
3b5Li4QKDVBx1x7fQuu54a,0.69,0.876,2,-4.159,1,0.059,0,0.147,0.493,123.994,192112,4,73,0
6jMbPsH6lTOLs5n8Af26AG,0.699,0.282,7,-7.65,1,0.0374,1.23E-06,0.0981,0.359,79.776,159293,4,73,0
1wHZx0LgzFHyeIZkUydNXq,0.713,0.526,1,-5.046,1,0.032,0.000148,0.124,0.131,131.05,262693,4,78,1
7h6lpVuSGPW6RNjDXKpYDh,0.648,0.936,0,-4.745,1,0.0762,6.93E-06,0.482,0.566,120.708,248880,4,68,0
2fUZ3aMp8amSaV0mp8s6rQ,0.711,0.882,0,-4.276,1,0.0576,0,0.226,0.56,106.017,167038,4,69,0
6kPJZM97LwdG9QIsT7khp6,0.737,0.636,11,-4.546,0,0.0437,6.66E-05,0.35,0.565,105.005,222653,4,87,1
3EmmCZoqpWOTY1g2GBwJoR,0.647,0.932,11,-3.515,1,0.0824,1.50E-06,0.0574,0.374,114.991,198774,4,72,0
1mXVgsBdtIVeCLJnSnmtdV,0.698,0.375,5,-8.279,1,0.0491,0,0.173,0.534,91.92,201000,4,86,1
32lItqlMi4LBhb4k0BaSaC,0.67,0.654,4,-5.944,1,0.153,1.02E-06,0.071,0.438,180.024,227533,4,85,1
1CZOrmHUUjeDP7N2B4Ba6S,0.696,0.921,0,-3.755,1,0.0363,5.24E-05,0.0842,0.714,119.001,294573,4,77,1
4nVBt6MZDDP6tRVdQTgxJg,0.6,0.663,3,-5.802,1,0.0477,0,0.119,0.286,121.07,245493,4,80,1
0prNGof3XqfTvNDxHonvdK,0.573,0.739,0,-5.74,1,0.129,0,0.111,0.451,97.085,230227,4,76,1
2Za1AlJNvksouPPWbXpR2X,0.712,0.51,8,-8.162,1,0.0633,2.46E-05,0.112,0.268,122.964,240507,4,76,1
7lGKEWMXVWWTt3X71Bv44I,0.389,0.665,0,-6.169,1,0.0644,0.000732,0.116,0.199,117.055,193547,4,79,1
6F5c58TMEs1byxUstkzVeM,0.554,0.772,7,-4.821,0,0.0418,6.60E-06,0.354,0.455,179.984,223546,4,78,1
6yIdwnpDHufLWgQcveTPMk,0.735,0.451,0,-8.374,1,0.0585,1.30E-05,0.325,0.0862,117.973,245200,4,79,1
1oew3nFNY3vMacJAsvry0S,0.544,0.774,5,-4.21,0,0.0339,0,0.135,0.522,174.121,193733,4,75,1
1wYZZtamWTQAoj8B812uKQ,0.376,0.821,0,-3.974,1,0.104,0,0.0823,0.331,120.462,199453,4,68,0
2CWnuF7ht55Ajyeg4WPvWu,0.665,0.86,4,-3.921,0,0.0761,0,0.281,0.372,139.973,209355,4,55,0
5uQOauh47VFt3B2kV9kRXw,0.812,0.621,5,-8.3,1,0.0515,0,0.099,0.847,77.998,128157,4,74,0
1YMBg7rOjxzbya0fPOYfNX,0.784,0.757,8,-3.912,1,0.0384,1.18E-06,0.142,0.587,104.996,198286,4,73,0
2tpWsVSb9UEmDRxAl1zhX1,0.664,0.705,1,-4.972,0,0.0382,0,0.118,0.477,122.016,257267,4,80,1
0Fv5N0cHBsl4bzCbollCAS,0.789,0.53,2,-6.2,1,0.293,0,0.164,0.367,75.515,142907,4,71,0
00vk0sEfb6mr2ehwSw0Uhn,0.773,0.849,8,-8.345,0,0.0587,0.0103,0.397,0.913,119.981,192227,4,59,0
7ARveOiD31w2Nq0n5FsSf8,0.622,0.58,1,-5.273,0,0.0504,2.95E-05,0.112,0.512,104.41,221874,4,69,0
1ZAyjvIk9YiD76yYy0TEG6,0.876,0.519,11,-6.531,1,0.143,0,0.108,0.158,94.981,175230,4,84,1
1BuZAIO8WZpavWVbbq3Lci,0.713,0.831,1,-4.75,0,0.15,0,0.118,0.584,173.948,332301,4,81,1
75ZvA4QfFiZvzhj2xkaWAh,0.556,0.538,8,-5.408,0,0.0382,0,0.196,0.291,143.95,223347,4,88,1
5Ck3e6z1bcSCes5gdo0Ddt,0.633,0.576,6,-7.837,1,0.0522,3.37E-05,0.127,0.296,119.799,256080,4,66,0
3NLnwwAQbbFKcEcV8hDItk,0.647,0.823,2,-5.231,1,0.0762,0,0.119,0.396,99.933,230333,4,74,0
5jrdCoLpJSvHHorevXBATy,0.645,0.585,6,-6.122,1,0.0513,0,0.165,0.353,131.931,215672,4,78,1
3nodtPfXcok53E8Uze8gvD,0.635,0.659,8,-4.92,1,0.155,0,0.302,0.54,178.018,187589,4,64,0
46jLy47W8rkf8rEX04gMKB,0.552,0.689,10,-6.444,0,0.0425,0,0.27,0.349,99.961,169773,4,68,0
7kqcudBGM74MXVoYMaoWkC,0.845,0.506,1,-5.971,1,0.0409,1.03E-06,0.0879,0.647,99.051,264947,4,75,1
4tERsdVCLtLtrGdFBf9DGC,0.715,0.742,0,-4.331,1,0.0347,2.47E-05,0.364,0.322,106.971,230880,4,73,0
2Zj4FUsMtu9PMuJsHbGbdv,0.669,0.78,7,-4.287,0,0.053,1.63E-06,0.143,0.738,139.945,212333,4,59,0
4JIo8RztBbELr2gWJ5OGK6,0.534,0.642,9,-3.971,1,0.0504,0,0.29,0.131,92.963,249813,4,78,1
0I20rLT2MJDhcF96AjbNYo,0.671,0.628,5,-5.049,0,0.0759,0,0.114,0.537,102.037,210400,4,56,0
7k802XMtsF57i4WS2M2MGg,0.651,0.601,10,-5.097,0,0.0497,0,0.0882,0.512,133.954,201422,4,56,0
5DSr1NMci58MEgS20vivSL,0.671,0.672,4,-9.188,0,0.12,3.98E-05,0.074,0.186,117.96,240680,4,68,0
4Z1t1aMRif8ES212kTN8H2,0.501,0.648,9,-7.173,1,0.0696,1.26E-05,0.153,0.191,163.834,225200,4,65,0
3BtuIIrQlkujKPuWF2B85z,0.82,0.641,4,-7.811,0,0.116,5.07E-05,0.102,0.395,117.974,263373,4,76,1
7ef4DlsgrMEH11cDZd32M6,0.791,0.862,9,-3.24,0,0.11,2.19E-05,0.0814,0.592,123.994,214847,4,89,1
0E6PsO3ymCfUh7pJQjBgkj,0.705,0.784,2,-6.477,1,0.271,0,0.168,0.377,160.035,264853,4,72,0
25oOaleife6E2MIKmFkPvg,0.842,0.597,2,-6.336,1,0.0627,0,0.124,0.298,145.992,215307,4,76,1
0zMzyHAeMvwq5CRstru1Fp,0.586,0.128,7,-9.297,1,0.0496,0,0.0858,0.371,123.498,276067,4,68,0
0A2J5TumCpT4aJVvQHNEQW,0.464,0.321,2,-11.12,1,0.0418,0,0.0789,0.306,93.528,252760,4,48,0
6vSforRhuzsA0D0SO9fG1S,0.667,0.613,1,-5.353,1,0.0344,0,0.115,0.47,91.024,194453,4,56,0
2yuyaYAELoMG4ApV5wJsWR,0.76,0.476,8,-8.103,1,0.241,0,0.1,0.354,147.01,161990,4,70,0
4ZJPwET9Jrgpkqi4Vo3Yg8,0.656,0.615,5,-6.252,1,0.0539,0,0.234,0.366,139.91,197253,4,71,0
4VUwkH455At9kENOfzTqmF,0.638,0.717,2,-4.722,1,0.0337,0,0.105,0.249,100.027,180000,4,89,1
23i3AkDGUo6wZJP15V67kQ,0.64,0.533,0,-6.596,1,0.0706,0,0.0864,0.515,99.968,220773,4,33,0
2S2od3hT7ceytw7d1pTRuE,0.664,0.738,9,-4.095,0,0.0338,5.75E-05,0.135,0.203,119.973,193962,4,77,1
3NLnwwAQbbFKcEcV8hDItk,0.647,0.823,2,-5.231,1,0.0762,0,0.119,0.396,99.933,230333,4,74,0
1gm616Plq4ScqNi7TVkZ5N,0.489,0.598,1,-4.929,1,0.036,0,0.35,0.172,134.045,228373,3,76,1
